Z_PK,Z_ENT,Z_OPT,ZACTIVITYCONFIDENCE,ZALTITUDE,ZCOURSE,ZHORIZONTALACCURACY,ZLATITUDE,ZLONGITUDE,ZSPEED,ZTIMESTAMPEPOCH,ZVERTICALACCURACY,ZACTIVITYTYPE,ZTIMESTAMPEST
13119,3,1,2,1779.73366558873,-1.0,32.0048330947235,40.0576479941111,-83.0329652673892,-1.0,1560136275.99927,64.8048248291016,automotive,"Sunday, June 9, 2019 at 11:11:15 PM Eastern Daylight Time"
13120,3,1,2,1777.18515195347,-1.0,32.0048330947235,40.0576490420779,-83.032979162046,-1.0,1560136276.99928,55.0018196105957,automotive,"Sunday, June 9, 2019 at 11:11:16 PM Eastern Daylight Time"
13121,3,1,2,1774.2041418285,335.089736378986,32.0048330947235,40.0576649483607,-83.0329996052467,1.0819376707077,1560136277.99928,48.5201950073242,automotive,"Sunday, June 9, 2019 at 11:11:17 PM Eastern Daylight Time"
13122,3,1,2,1776.93154132633,-1.0,32.0048330947235,40.0576951721726,-83.0330278704682,-1.0,1560136278.99929,71.5995407104492,automotive,"Sunday, June 9, 2019 at 11:11:18 PM Eastern Daylight Time"
13123,3,1,2,1779.77417328242,357.71435551406,32.0048330947235,40.0578042895975,-83.0329973097437,8.99824333190918,1560136279.99929,72.3145065307617,automotive,"Sunday, June 9, 2019 at 11:11:19 PM Eastern Daylight Time"
13124,3,1,2,1781.76830395151,-1.0,32.0048330947235,40.0579000314305,-83.0330174745105,-1.0,1560136280.9993,105.583305358887,automotive,"Sunday, June 9, 2019 at 11:11:20 PM Eastern Daylight Time"
13125,3,1,2,1783.99145630146,-1.0,32.0048330947235,40.0580659816182,-83.0330069161967,-1.0,1560136281.99931,125.108856201172,automotive,"Sunday, June 9, 2019 at 11:11:21 PM Eastern Daylight Time"
13126,3,1,2,1786.40489656142,357.944068436226,32.0048330947235,40.0581802557187,-83.0330180099561,11.7394571304321,1560136282.99931,102.705299377441,automotive,"Sunday, June 9, 2019 at 11:11:22 PM Eastern Daylight Time"
13127,3,1,2,1789.04540014006,2.63985701515253,32.0048330947235,40.0583406355103,-83.0330001388377,13.0387115478516,1560136283.99932,103.108917236328,automotive,"Sunday, June 9, 2019 at 11:11:23 PM Eastern Daylight Time"
13128,3,1,2,1791.9689270148,-1.0,32.0048330947235,40.0585029581513,-83.0329787225217,-1.0,1560136284.99933,107.900283813477,automotive,"Sunday, June 9, 2019 at 11:11:24 PM Eastern Daylight Time"
13129,3,1,2,1795.24213982221,-1.0,32.0048330947235,40.0586744780702,-83.0329548495925,-1.0,1560136285.99933,117.611663818359,automotive,"Sunday, June 9, 2019 at 11:11:25 PM Eastern Daylight Time"
13130,3,1,2,1797.6964135676,-1.0,32.0048330947235,40.0588173800122,-83.0329591107927,-1.0,1560136286.99934,123.534675598145,automotive,"Sunday, June 9, 2019 at 11:11:26 PM Eastern Daylight Time"
13131,3,1,2,1802.11632537502,5.08603590553971,32.0048330947235,40.0590247106717,-83.032960028946,17.9585876464844,1560136287.99934,102.269836425781,automotive,"Sunday, June 9, 2019 at 11:11:27 PM Eastern Daylight Time"
13132,3,1,2,1807.45700188175,-1.0,32.0048330947235,40.0592193714527,-83.0329300716055,-1.0,1560136288.99935,92.4816818237305,automotive,"Sunday, June 9, 2019 at 11:11:28 PM Eastern Daylight Time"
13133,3,1,2,1813.36821674233,-1.0,32.0048330947235,40.0594294922804,-83.0328845117971,-1.0,1560136289.99936,84.289924621582,automotive,"Sunday, June 9, 2019 at 11:11:29 PM Eastern Daylight Time"
13134,3,1,2,1815.60876912542,-1.0,32.0048330947235,40.059628886143,-83.032841352845,-1.0,1560136291.00036,371.213500976562,automotive,"Sunday, June 9, 2019 at 11:11:31 PM Eastern Daylight Time"
13135,3,1,2,1817.54247418977,-1.0,32.0048330947235,40.0598305175756,-83.0328037062517,-1.0,1560136292.00037,451.231170654297,automotive,"Sunday, June 9, 2019 at 11:11:32 PM Eastern Daylight Time"
13136,3,1,2,1820.60040845331,-1.0,32.0048330947235,40.0600479696558,-83.0327518981275,-1.0,1560136293.00038,370.923309326172,automotive,"Sunday, June 9, 2019 at 11:11:33 PM Eastern Daylight Time"
13137,3,1,2,1823.2184406855,-1.0,32.0048330947235,40.0602376406625,-83.0327270165526,-1.0,1560136294.00038,417.136138916016,automotive,"Sunday, June 9, 2019 at 11:11:34 PM Eastern Daylight Time"
13138,3,1,2,1824.83396252309,-1.0,32.0048330947235,40.060400716681,-83.0327237283393,-1.0,1560136295.00039,351.886962890625,automotive,"Sunday, June 9, 2019 at 11:11:35 PM Eastern Daylight Time"
13139,3,1,2,1825.79967633059,-1.0,32.0048330947235,40.0605356054062,-83.0327313626305,-1.0,1560136296.0004,344.850830078125,automotive,"Sunday, June 9, 2019 at 11:11:36 PM Eastern Daylight Time"
13140,3,1,2,1826.48958590822,-1.0,32.0048330947235,40.0607032772689,-83.0327329396466,-1.0,1560136297.0004,341.298522949219,automotive,"Sunday, June 9, 2019 at 11:11:37 PM Eastern Daylight Time"
13141,3,1,2,1826.1435109308,3.96953604465581,32.0048330947235,40.0608819713568,-83.0327409908432,11.8973932266235,1560136298.00041,407.990570068359,automotive,"Sunday, June 9, 2019 at 11:11:38 PM Eastern Daylight Time"
13142,3,1,2,1825.74787918955,11.9148014079973,32.0048330947235,40.061041205468,-83.0327376001271,11.8973932266235,1560136299.00042,359.68994140625,automotive,"Sunday, June 9, 2019 at 11:11:39 PM Eastern Daylight Time"
13143,3,1,2,1825.46114371421,-1.0,32.0048330947235,40.0611608271508,-83.0327114860659,-1.0,1560136300.00042,323.904388427734,automotive,"Sunday, June 9, 2019 at 11:11:40 PM Eastern Daylight Time"
13144,3,1,2,1825.92399718653,-1.0,32.0048330947235,40.0612451551121,-83.0326767535188,-1.0,1560136301.00043,153.845977783203,automotive,"Sunday, June 9, 2019 at 11:11:41 PM Eastern Daylight Time"
13145,3,1,2,1826.02014160156,-1.0,200.0,40.0612497845936,-83.0326726678213,-1.0,1560136302.00044,306.096221923828,automotive,"Sunday, June 9, 2019 at 11:11:42 PM Eastern Daylight Time"
13146,3,1,2,1851.58734227652,-1.0,32.0048330947235,40.0614508078536,-83.0325070040558,-1.0,1560136303.00044,162.85026550293,automotive,"Sunday, June 9, 2019 at 11:11:43 PM Eastern Daylight Time"
13147,3,1,2,1864.36990521492,-1.0,32.0048330947235,40.06153575315,-83.0324302473644,-1.0,1560136304.00045,135.184005737305,automotive,"Sunday, June 9, 2019 at 11:11:44 PM Eastern Daylight Time"
13148,3,1,2,1874.03723630183,21.8266583796249,32.0048330947235,40.0616423210442,-83.0323282397114,11.5723066329956,1560136305.00046,112.384208679199,automotive,"Sunday, June 9, 2019 at 11:11:45 PM Eastern Daylight Time"
13149,3,1,2,1881.14256981139,16.3077289264712,32.0048330947235,40.061775777381,-83.0322739297674,12.7196311950684,1560136306.00046,92.1836242675781,automotive,"Sunday, June 9, 2019 at 11:11:46 PM Eastern Daylight Time"
13150,3,1,2,1886.26584636632,20.560086882958,32.0048330947235,40.0619250398925,-83.0322120373462,12.7196311950684,1560136307.00047,80.5686798095703,automotive,"Sunday, June 9, 2019 at 11:11:47 PM Eastern Daylight Time"
13151,3,1,2,1890.11229124675,17.6319830782262,32.0048330947235,40.0620842914461,-83.0321471835074,15.0344753265381,1560136308.00048,174.934646606445,automotive,"Sunday, June 9, 2019 at 11:11:48 PM Eastern Daylight Time"
13152,3,1,2,1893.1011743129,-1.0,32.0048330947235,40.0622414549595,-83.032084374094,-1.0,1560136309.00048,212.897354125977,automotive,"Sunday, June 9, 2019 at 11:11:49 PM Eastern Daylight Time"
13153,3,1,2,1895.69709777537,-1.0,32.0048330947235,40.0623981484385,-83.0320163753336,-1.0,1560136310.00049,243.590286254883,automotive,"Sunday, June 9, 2019 at 11:11:50 PM Eastern Daylight Time"
13154,3,1,2,1897.52987275385,20.8438744127828,32.0048330947235,40.0625557221051,-83.0319574350697,17.3990859985352,1560136311.0005,180.790634155273,automotive,"Sunday, June 9, 2019 at 11:11:51 PM Eastern Daylight Time"
13155,3,1,2,1899.77775897975,20.6216729911567,32.0048330947235,40.0627169200181,-83.0318700326575,18.4287872314453,1560136312.0005,121.770957946777,automotive,"Sunday, June 9, 2019 at 11:11:52 PM Eastern Daylight Time"
13156,3,1,2,1904.46020019111,19.8319904249819,32.0048330947235,40.0629070141569,-83.0317702894717,18.4287872314453,1560136313.00051,118.664482116699,automotive,"Sunday, June 9, 2019 at 11:11:53 PM Eastern Daylight Time"
13157,3,1,2,1907.49357244504,19.8218322261388,32.0048330947235,40.06306948263,-83.031689326944,18.4287872314453,1560136314.00052,101.543327331543,automotive,"Sunday, June 9, 2019 at 11:11:54 PM Eastern Daylight Time"
13158,3,1,2,1910.10214285479,20.7650164637204,32.0048330947235,40.0632466405863,-83.0315824632743,18.4008693695068,1560136315.00052,84.939826965332,automotive,"Sunday, June 9, 2019 at 11:11:55 PM Eastern Daylight Time"
13159,3,1,2,1912.32784633149,20.8043634759816,32.0048330947235,40.0634218795212,-83.031479259558,18.6620960235596,1560136316.00053,71.7941741943359,automotive,"Sunday, June 9, 2019 at 11:11:56 PM Eastern Daylight Time"
13160,3,1,2,1914.41734148149,-1.0,32.0048330947235,40.0635817687636,-83.0314002310803,-1.0,1560136317.00054,62.1841735839844,automotive,"Sunday, June 9, 2019 at 11:11:57 PM Eastern Daylight Time"
13161,3,1,2,1915.69053913823,-1.0,48.0072496420853,40.0637375433489,-83.0313320283282,-1.0,1560136318.00054,94.2227401733398,automotive,"Sunday, June 9, 2019 at 11:11:58 PM Eastern Daylight Time"
13162,3,1,2,1915.69470214844,-1.0,200.0,40.0637493723395,-83.0313273529189,-1.0,1560136319.00055,188.091293334961,automotive,"Sunday, June 9, 2019 at 11:11:59 PM Eastern Daylight Time"
13163,3,1,2,1915.73364257813,-1.0,200.0,40.0638217701916,-83.03129225222,-1.0,1560136320.00056,186.600997924805,automotive,"Sunday, June 9, 2019 at 11:12:00 PM Eastern Daylight Time"
13164,3,1,2,1920.12241307175,-1.0,48.0072496420853,40.0642495962993,-83.0310644451797,-1.0,1560136321.00056,134.424530029297,automotive,"Sunday, June 9, 2019 at 11:12:01 PM Eastern Daylight Time"
13165,3,1,2,1920.13439941406,-1.0,200.0,40.0642620982654,-83.0310582999817,-1.0,1560136322.00057,267.787445068359,automotive,"Sunday, June 9, 2019 at 11:12:02 PM Eastern Daylight Time"
13166,3,1,2,1924.04944282304,21.0591824659891,32.0048330947235,40.0646117433652,-83.030873426064,19.1670742034912,1560136323.00058,23.8835182189941,automotive,"Sunday, June 9, 2019 at 11:12:03 PM Eastern Daylight Time"
13167,3,1,2,1925.58370724342,19.8526824830724,32.0048330947235,40.0647664629073,-83.0307918287979,19.1670742034912,1560136324.00058,89.8170013427734,automotive,"Sunday, June 9, 2019 at 11:12:04 PM Eastern Daylight Time"
13168,3,1,2,1926.49244603686,-1.0,64.009666189447,40.0649405805909,-83.0306930266918,-1.0,1560136325.00059,245.2861328125,automotive,"Sunday, June 9, 2019 at 11:12:05 PM Eastern Daylight Time"
13169,3,1,2,1929.5724540646,24.8728971362412,32.0048330947235,40.0651210706901,-83.0305565555308,19.1670742034912,1560136326.0006,116.188926696777,automotive,"Sunday, June 9, 2019 at 11:12:06 PM Eastern Daylight Time"
13170,3,1,2,1933.74123602079,24.8659610791391,32.0048330947235,40.0653083149953,-83.0304555763516,18.433048248291,1560136327.0006,96.5561294555664,automotive,"Sunday, June 9, 2019 at 11:12:07 PM Eastern Daylight Time"
13171,3,1,2,1936.66427401026,24.7063771242763,32.0048330947235,40.0654566531192,-83.0303727660465,18.433048248291,1560136328.00061,87.821907043457,automotive,"Sunday, June 9, 2019 at 11:12:08 PM Eastern Daylight Time"
13172,3,1,2,1938.53066313862,-1.0,96.0144992841705,40.065602048235,-83.0302925061767,-1.0,1560136329.00062,1076.81518554687,automotive,"Sunday, June 9, 2019 at 11:12:09 PM Eastern Daylight Time"
13173,3,1,2,1942.61754865704,26.2176350253171,48.0072496420853,40.0657819769423,-83.0301573758369,18.433048248291,1560136330.00062,154.300430297852,automotive,"Sunday, June 9, 2019 at 11:12:10 PM Eastern Daylight Time"
13174,3,1,2,1946.96101983474,-1.0,48.0072496420853,40.0659767723985,-83.0299805576952,-1.0,1560136331.00063,128.441070556641,automotive,"Sunday, June 9, 2019 at 11:12:11 PM Eastern Daylight Time"
13175,3,1,2,1955.02873003746,-1.0,64.009666189447,40.0661685770818,-83.0298302164445,-1.0,1560136332.00064,136.371322631836,automotive,"Sunday, June 9, 2019 at 11:12:12 PM Eastern Daylight Time"
13176,3,1,2,1966.34122773808,-1.0,64.009666189447,40.0663762284644,-83.029707877848,-1.0,1560136333.00065,150.512405395508,automotive,"Sunday, June 9, 2019 at 11:12:13 PM Eastern Daylight Time"
13177,3,1,2,249.880004882812,-1.0,241.4605999309,40.063458177138,-83.0459369576645,-1.0,1560136343.96492,49.0424995422363,automotive,"Sunday, June 9, 2019 at 11:12:23 PM Eastern Daylight Time"
13178,3,1,2,249.880004882812,-1.0,248.501283237134,40.063458177138,-83.0459369576645,-1.0,1560136345.91817,49.0424995422363,automotive,"Sunday, June 9, 2019 at 11:12:25 PM Eastern Daylight Time"
13179,3,1,2,249.880004882812,-1.0,65.0,40.0630231262649,-83.0405818420534,-1.0,1560136363.97032,49.0424995422363,automotive,"Sunday, June 9, 2019 at 11:12:43 PM Eastern Daylight Time"
13180,3,1,2,2351.94586757472,91.4123968323777,48.0072496420853,40.067180775149,-83.0237426714637,21.0943183898926,1560136364.00086,157.411056518555,automotive,"Sunday, June 9, 2019 at 11:12:44 PM Eastern Daylight Time"
13181,3,1,2,2351.46402545264,91.3674883385848,48.0072496420853,40.0671477987285,-83.0235254575271,21.0943183898926,1560136365.00087,129.547164916992,automotive,"Sunday, June 9, 2019 at 11:12:45 PM Eastern Daylight Time"
